Code.Class,Name,Accession,COH.24,COH.25,COH.30,COH.27,COH.32,COH.28,COH.23,COH.31,COH.4,COH.7,COH.8,COH.16,COH.6,COH.1,COH.15,COH.17,COH.14,COH.11,COH.21,COH.10,COH.20,COH.13,COH.2,COH.22,COH.5,COH.3,COH.19
Endogenous,JUNB,NM_002229.2,1027,768,1265,426,825,928,1261,1255,407,2290,1002,443,1106,646,1159,851,743,598,929,1565,464,664,1167,792,773,330,703
Endogenous,KLF10,NM_005655.3,943,725,2338,1577,4193,2789,1200,1339,3173,2868,546,1592,3192,1445,2539,1332,630,858,302,2714,1678,1162,1554,2387,944,1282,1399
Endogenous,KLF2,NM_016270.2,8,4,7,14,10,14,10,9,4,3,6,7,5,7,13,8,1,5,6,8,23,13,8,12,3,9,5
Endogenous,KLHL24,NM_017644.3,938,938,2485,1105,1182,4188,4647,932,4081,1714,635,1208,969,749,913,587,375,1091,276,1214,561,673,1033,1544,528,14794,911
Endogenous,KLK6,NM_002774.3,17,594,8750,747,1687,1177,178,41,13,16,22,429,9,88,28,8,40,283,2,46,8,20,74,260,6,749,139
Endogenous,KRAS,NM_004985.3,1165,704,1370,785,945,2064,1460,594,1955,1031,356,762,553,691,552,443,581,1045,563,868,686,346,1300,619,360,1104,2137
Endogenous,KRT4,NM_002272.3,57,88,93,149,393,134,13,53,107,17,171,100,8,8,46,6,12,15,6,221,23,7,32,11,9,14,24
Endogenous,KRT81,NM_002281.3,3265,3464,14008,93,3503,500,7548,45,15,4660,59,568,175,1482,1618,21,28,655,32,215,54,17,19,80,19,197,646
Endogenous,LANCL1,NM_006055.1,403,206,637,904,1245,614,976,422,899,404,184,452,540,306,261,214,185,498,112,407,359,204,391,572,162,1512,391
Endogenous,LBH,NM_030915.3,383,124,300,139,288,125,99,85,413,98,91,153,152,103,66,99,57,37,237,109,171,68,273,103,68,155,115
Endogenous,LCE1F,NM_178354.2,32,191,273,799,2608,278,47,29,20,15,10,11,5,10,18,12,6,7,6,13,11,9,80,13,10,13,12
Endogenous,LCE3D,NM_032563.1,9,84,122,1393,927,197,9,18,20,11,13,11,7,7,9,6,7,10,6,10,33,82,61,14,6,16,12
Endogenous,LCE3E,NM_178435.2,10,82,95,434,345,129,11,11,2,5,5,4,9,3,8,5,8,5,1,11,6,27,14,12,5,13,10
Endogenous,LEP,NM_000230.2,18,45,89,153,32,103,7,40,8,27,14,7,3,6,3,9,5,5,35,15,11,22,9,6,9,27,10
Endogenous,LFNG,NM_001040168.1,518,62,103,87,226,74,102,83,64,91,68,91,368,77,105,261,93,52,130,185,115,160,161,292,170,69,92
Endogenous,LGALS9,NM_002308.3,737,388,615,556,342,1388,580,559,76,383,468,191,457,184,230,470,319,840,785,758,117,175,171,248,289,109,753
Endogenous,LIF,NM_002309.3,211,385,319,273,1235,299,393,544,515,344,234,209,1268,498,1046,427,178,124,41,428,134,224,115,429,202,252,284
Endogenous,LMOD1,NM_012134.2,86,226,508,383,381,351,78,148,43,142,193,226,158,103,115,205,98,37,124,251,139,86,72,41,167,58,117
Endogenous,LOC100130238,NR_024563.1,20,66,37,74,19,127,13,24,12,17,10,6,7,5,20,12,4,7,4,31,24,14,7,4,14,11,4
Endogenous,LOX,NM_002317.4,136,360,2146,641,3791,809,1422,911,1743,3494,621,1109,1470,1044,3662,2827,454,238,837,3000,1137,3026,944,3951,643,992,941
Endogenous,LRP1,NM_002332.2,692,1047,4610,1689,8283,1948,1341,1642,2364,3056,1655,1445,2171,1203,2705,2615,772,491,1068,3631,3367,2495,3556,2226,1570,1258,1682
Endogenous,LY6D,NM_003695.2,1,44,73,301,3200,3158,6,6,17,17,17,176,11,113,7,10,71,197,4,580,6,156,788,4,8,10,50
Endogenous,MAL,NM_002371.2,305,112,102,178,87,152,9,30,7,39,20,41,35,10,9,8,13,7,78,32,8,14,21,17,24,21,15
Endogenous,MAOB,NM_000898.4,43,49,68,12,242,33,628,116,194,132,63,172,70,1017,226,92,7,484,32,85,16,29,26,208,101,23,51
Endogenous,MAP3K12,NM_006301.2,189,92,322,189,275,186,174,69,178,344,88,100,188,49,88,130,45,52,43,195,231,98,209,246,112,564,96
Endogenous,MCAM,NM_006500.2,152,200,753,1149,593,579,211,194,244,509,160,411,237,488,525,209,84,167,245,310,712,168,81,384,68,1347,664
Endogenous,METTL7A,NM_014033.3,1207,302,1897,981,1474,1339,314,497,348,443,350,763,285,233,79,382,164,92,425,302,343,144,444,109,301,4992,440
Endogenous,MGC16121,NR_024607.1,59,74,95,117,102,39,28,150,1011,703,48,56,36,108,211,147,28,49,8,104,156,311,31,63,63,59,75
