Code.Class,Name,Accession,COH.24,COH.25,COH.30,COH.27,COH.32,COH.28,COH.23,COH.31,COH.4,COH.7,COH.8,COH.16,COH.6,COH.1,COH.15,COH.17,COH.14,COH.11,COH.21,COH.10,COH.20,COH.13,COH.2,COH.22,COH.5,COH.3,COH.19
Endogenous,TIMP3,NM_000362.4,1348,3267,16314,6250,6284,4338,3715,6183,10965,8932,2495,4087,7106,10847,356,6317,4272,2382,2239,8461,3665,4107,7665,12863,2670,46257,3859
Endogenous,TK1,NM_003258.1,148,79,374,748,171,417,103,97,202,60,23,132,188,186,80,89,57,243,59,48,112,40,147,163,27,213,271
Endogenous,TLR2,NM_003264.3,160,180,642,354,347,699,101,118,97,385,222,258,686,270,368,471,174,147,86,554,257,304,152,352,382,212,268
Endogenous,TMCC2,NM_014858.2,63,319,294,400,103,417,66,168,176,31,23,196,50,65,55,22,8,20,22,87,44,73,125,72,26,128,30
Endogenous,TMEM121,NM_025268.2,42,45,81,67,64,365,106,62,127,87,24,98,57,98,27,41,18,13,14,45,110,21,126,95,9,309,29
Endogenous,TNFAIP2,NM_006291.2,1736,959,1218,674,3231,925,5581,1195,766,1607,5012,1094,2026,1467,736,1055,1247,3321,586,2357,699,876,2904,798,1109,577,2044
Endogenous,TNFAIP3,NM_006290.2,2012,659,1048,375,617,1233,3146,588,366,689,1076,825,1705,439,1517,1133,317,1067,596,1364,573,2042,589,481,1191,672,984
Endogenous,TNFRSF10B,NM_003842.3,246,121,370,174,393,445,867,110,224,235,189,128,776,239,454,251,111,329,148,247,292,261,155,330,203,163,602
Endogenous,TNFRSF10D,NM_003840.3,189,78,110,137,156,222,24,76,18,54,25,51,172,93,393,53,18,73,55,74,168,126,24,186,36,55,94
Endogenous,TNFRSF11B,NM_002546.2,43,88,130,148,88,170,4150,28,167,4066,22,35,11,83,28,25,53,33,41,35,48,52,62,42,27,49,59
Endogenous,TYMP,NM_001953.3,1516,1199,2176,1487,1353,2807,2030,1433,341,1159,1020,659,3774,1525,2013,1647,1479,1817,1794,2411,421,864,1401,1566,1066,420,1768
Endogenous,UBB,NM_018955.2,7723,2445,17234,13406,12425,13829,13443,6144,346,3981,4076,27423,9176,4605,6357,7928,4072,8337,4855,5158,1265,3839,7631,8513,2535,16579,16460
Endogenous,UBC,NM_021009.6,32,81,69,57,44,139,117,31,63,56,22,25,43,23,44,33,20,32,25,17,48,83,70,48,19,42,61
Endogenous,ULBP1,NM_025218.2,6,140,121,251,113,139,32,22,94,59,11,30,65,36,34,5,31,38,2,19,14,13,12,12,12,240,37
Endogenous,UPP1,NM_003364.2,248,217,488,435,764,621,574,193,918,374,196,225,783,447,457,304,123,225,210,428,330,574,429,1041,133,370,303
Endogenous,USP18,NM_017414.3,431,330,602,663,175,884,402,281,207,158,114,280,181,300,361,297,148,179,266,114,108,97,161,73,85,413,1409
Endogenous,USP2,NM_001243759.1,46,28,102,265,169,120,82,45,112,88,45,88,19,104,83,11,18,53,25,76,63,49,43,35,16,56,60
Endogenous,VIM,NM_003380.2,18998,10064,41684,43283,36093,17191,48435,20661,27535,56869,14331,24131,72208,20847,32625,25474,7014,17646,21395,24945,27338,27449,10769,93332,10815,24573,13648
Endogenous,VIPR1,NM_004624.3,100,29,217,82,268,106,102,33,130,106,23,107,34,74,12,28,40,14,12,69,33,180,79,22,43,4452,77
Endogenous,VWA1,NM_199121.2,90,147,272,230,167,867,145,47,80,211,54,183,24,30,79,25,51,125,13,53,41,17,85,40,17,480,115
Endogenous,XAF1,NM_199139.2,1580,1486,1133,825,360,1896,932,700,373,401,452,383,1031,494,757,902,464,708,1274,753,573,567,450,320,599,178,1621
Endogenous,ZFAND2A,NM_182491.2,240,188,381,301,266,542,591,108,244,301,79,337,398,127,272,191,162,152,134,124,88,103,234,153,74,772,782
Endogenous,ZFP36,NM_003407.2,6448,2819,13272,3361,5251,4836,2872,5370,1294,9098,9620,3261,4504,2332,6317,4236,2002,1683,2873,9123,4506,3707,5150,3922,3440,2603,3318
Endogenous,ZNF165,NM_003447.3,94,143,557,1016,139,646,393,80,155,96,28,332,45,78,86,17,87,326,13,37,31,20,60,35,19,363,287
Endogenous,ZNF362,NM_152493.2,141,128,194,189,204,822,473,113,582,270,102,211,180,96,124,95,77,123,25,208,142,105,164,173,98,288,274
Endogenous,ZSCAN12P1,NR_024063.2,52,161,296,886,125,411,104,37,45,78,25,189,36,24,48,8,49,250,16,32,16,30,30,48,15,107,153
Housekeeping,AGK,NM_018238.3,195,155,533,939,464,679,180,362,286,351,112,296,222,141,180,254,100,227,53,171,184,112,200,214,78,1663,441
Housekeeping,DDX50,NM_024045.1,733,444,894,724,623,1266,747,367,874,557,216,933,567,437,340,423,195,694,288,382,373,274,544,636,206,1897,859
Housekeeping,DHX16,NM_001164239.1,663,249,885,356,381,1175,639,332,1196,680,216,582,512,249,320,226,182,297,246,349,271,189,283,288,179,659,611
Housekeeping,ERCC3,NM_000122.1,562,398,635,464,320,838,670,259,578,522,164,377,181,243,270,198,234,402,283,332,206,127,301,264,165,615,491
Housekeeping,MTMR14,NM_022485.3,698,294,869,590,605,764,789,290,1187,484,276,340,605,294,411,321,202,434,225,483,277,204,250,446,253,934,486
Housekeeping,NUBP1,NM_002484.3,547,356,765,687,573,911,1177,283,405,565,248,443,559,367,253,356,193,426,364,417,382,245,324,598,282,696,666
Housekeeping,SAP130,NM_024545.3,480,191,556,823,522,826,956,302,703,476,177,505,286,324,333,243,262,490,84,335,271,182,376,355,151,1038,996
Housekeeping,SF3A3,NM_006802.2,1152,997,1502,1441,1398,2526,10182,988,1994,1540,563,1654,1110,581,1127,728,612,1432,678,1375,562,711,726,1360,824,2194,2287
Housekeeping,USP39,NM_001256725.1,191,63,365,655,467,331,778,77,138,153,96,544,213,215,164,158,88,160,47,100,161,79,291,190,73,1452,554
Negative,NEG_A,ERCC_00096.1,6,8,6,7,11,11,13,8,9,3,5,9,8,5,6,7,6,6,3,3,6,9,10,8,1,6,6
Negative,NEG_B,ERCC_00041.1,6,1,11,17,6,8,20,11,10,17,6,9,10,5,9,13,7,8,7,13,17,12,13,17,8,12,10
Negative,NEG_C,ERCC_00019.1,6,8,2,6,7,3,5,5,6,6,9,1,1,1,5,6,5,6,7,7,4,5,8,8,4,6,4
Negative,NEG_D,ERCC_00076.1,4,6,10,7,7,14,11,8,5,4,7,9,11,5,4,6,7,7,1,8,16,9,10,9,7,17,3
Negative,NEG_E,ERCC_00098.1,8,9,7,11,14,16,11,17,8,10,8,5,9,7,8,9,6,5,13,5,8,12,9,9,2,8,11
Negative,NEG_F,ERCC_00126.1,31,22,12,28,11,9,29,15,11,17,10,7,5,9,15,7,13,8,9,6,14,13,15,7,16,19,11
Negative,NEG_G,ERCC_00144.1,6,1,1,3,4,3,3,7,3,3,6,2,7,5,4,3,5,4,2,3,19,21,31,4,2,4,3
Negative,NEG_H,ERCC_00154.1,8,4,1,6,11,2,5,5,10,10,7,9,2,2,8,10,8,4,2,7,18,14,27,9,3,5,6
Positive,POS_A,ERCC_00117.1,20021,21768,11566,14314,13774,17546,14357,19763,12285,10428,14801,12036,11459,11246,10292,11555,15825,13000,14624,11744,10720,13239,14038,14477,15832,13268,15687
Positive,POS_B,ERCC_00112.1,5862,5208,2912,4024,3905,4694,3874,5519,3609,2856,4157,3609,3359,3500,2878,3397,4589,3772,3897,3054,3274,3892,4151,4255,4979,4258,4614
Positive,POS_C,ERCC_00002.1,1639,1484,839,1152,1062,1224,1085,1517,1036,857,1195,1000,961,992,834,1020,1425,1133,1128,921,1006,1174,1188,1129,1359,1108,1174
Positive,POS_D,ERCC_00092.1,449,419,238,301,285,361,275,411,272,217,294,270,258,251,222,285,342,281,280,238,291,301,314,334,356,281,325
Positive,POS_E,ERCC_00035.1,99,99,62,66,83,82,76,112,69,58,59,55,50,50,46,50,97,61,63,53,38,59,77,63,77,60,68
Positive,POS_F,ERCC_00034.1,56,72,34,47,39,38,57,58,25,25,51,29,29,35,30,31,47,37,41,38,37,48,39,45,44,42,46
